time,depth,latitude,longitude,EWCT
UTC,m,degrees_north,degrees_east,m s-1
2019-08-01T00:00:00Z,0,42.168003,6.5705338,NaN
2019-08-01T00:00:00Z,0,42.168003,6.582819,NaN
2019-08-01T00:00:00Z,0,42.168003,6.595104,NaN
2019-08-01T00:00:00Z,0,42.168003,6.6073895,NaN
2019-08-01T00:00:00Z,0,42.168003,6.6196747,NaN
2019-08-01T00:00:00Z,0,42.168003,6.63196,NaN
2019-08-01T00:00:00Z,0,42.168003,6.6442456,NaN
2019-08-01T00:00:00Z,0,42.168003,6.656531,NaN
2019-08-01T00:00:00Z,0,42.168003,6.668816,NaN
2019-08-01T00:00:00Z,0,42.168003,6.6811013,NaN
2019-08-01T00:00:00Z,0,42.168003,6.6933866,NaN
2019-08-01T00:00:00Z,0,42.168003,6.705672,NaN
2019-08-01T00:00:00Z,0,42.168003,6.717957,NaN
2019-08-01T00:00:00Z,0,42.168003,6.7302423,NaN
2019-08-01T00:00:00Z,0,42.168003,6.7425275,NaN
2019-08-01T00:00:00Z,0,42.168003,6.7548127,NaN
2019-08-01T00:00:00Z,0,42.168003,6.767098,NaN
2019-08-01T00:00:00Z,0,42.168003,6.779383,NaN
2019-08-01T00:00:00Z,0,42.168003,6.7916684,NaN
2019-08-01T00:00:00Z,0,42.168003,6.8039536,NaN
2019-08-01T00:00:00Z,0,42.168003,6.816239,NaN
2019-08-01T00:00:00Z,0,42.177006,5.6,NaN
2019-08-01T00:00:00Z,0,42.177006,5.612285,NaN
2019-08-01T00:00:00Z,0,42.177006,5.6245704,NaN
2019-08-01T00:00:00Z,0,42.177006,5.6368556,NaN
2019-08-01T00:00:00Z,0,42.177006,5.649141,NaN
2019-08-01T00:00:00Z,0,42.177006,5.661426,NaN
2019-08-01T00:00:00Z,0,42.177006,5.6737113,NaN
2019-08-01T00:00:00Z,0,42.177006,5.6859965,NaN
2019-08-01T00:00:00Z,0,42.177006,5.698282,NaN
2019-08-01T00:00:00Z,0,42.177006,5.710567,NaN
2019-08-01T00:00:00Z,0,42.177006,5.722852,NaN
2019-08-01T00:00:00Z,0,42.177006,5.7351375,NaN
